"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"185","41922099999","9.14","23.843333","90.397781","1990-01-01","2019-12-31",12,15,19,21,23,25,26,26,26,23,19,14
"187","42181099999","236.82","28.5665","77.103088","1990-01-01","2019-12-31",5,7,12,18.39,23,25,25,25,23,17,10,6
"189","42339099999","218.54","26.251092","73.048869","1990-01-01","2019-12-31",6.78,9,14.28,19.39,24.39,25.22,24.61,24.22,22.89,16.78,11.72,8
"191","42410099999","49.37","26.106092","91.585939","1990-01-01","2019-12-31",8.61,10.39,13.39,17.89,20.61,23.39,24.78,24.61,23.5,19.61,13.78,10
"193","42492099999","51.81","25.591317","85.087992","1990-01-01","2019-12-31",5.72,9,13.28,19.11,22.39,24.89,25,25,23.78,18,11.72,7.22
"195","42623099999","774.19","24.75995","93.896697","1990-01-01","2019-12-31",2.72,5,8.89,13.89,17,20.28,21.5,21.39,19.89,14.22,7.89,3.39
"197","42647099999","57.6","23.077242","72.63465","1990-01-01","2019-12-31",9,10.28,15,20.72,25.28,25,24.22,24,23.28,18,13.39,10
"199","42667099999","523.95","23.287467","77.337375","1990-01-01","2019-12-31",7,9.72,14,19.22,23.28,22.78,22.28,22,20.61,16,11.78,8.22
"201","42809099999","4.87","22.654739","88.446722","1990-01-01","2019-12-31",9.61,12.61,17.5,21,22.39,24.5,25,25,24.5,21,15.5,11
"203","43003099999","11.27","19.088686","72.867919","1990-01-01","2019-12-31",13.72,15.11,18.28,22,25,24,23.89,24,23.61,21.39,18.11,15.39
"205","43128099999","530.96","17.452417","78.461111","1990-01-01","2019-12-31",12,15,18.61,21.72,23.11,22.22,21.28,21,21,17.61,13.5,11.39
"209","43279099999","15.84","12.994414","80.180517","1990-01-01","2019-12-31",19,19.61,21.28,24.61,25.39,24.78,24,23.61,23.39,23,21,19.61
"213","43353099999","2.43","9.946133","76.272022","1990-01-01","2019-12-31",21.22,22.39,23.78,23.61,23.78,23,22.61,22.78,23.22,23,23,21.39
"217","43555099999","1.82","4.191833","73.529128","1990-01-01","2019-12-31",25.11,25.61,26,25.89,25,25,24.5,24.39,24.61,24.39,24.5,24.5
"219","44292099999","1330.14","47.843056","106.766639","1990-01-01","2019-12-31",-37,-36,-26,-12.5,-5,2.89,7,4,-5,-14.61,-29,-35
"221","44454099999","1338.07","27.696592","85.359192","1990-01-01","2019-12-31",1,2.61,5.89,9.39,13.39,17.61,19.5,19.22,17.39,10.61,5.78,2
"223","45007099999","8.53","22.308919","113.914603","1990-01-01","2019-12-31",9.22,10,13.22,18,22,24.72,25,25,24.11,21,15.89,11
"225","46696099999","5.48","25.069444","121.551667","1990-01-01","2019-12-31",10,10.61,12,15,19,22.78,25,25,22,19,16,12
