"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"181","41675099999","121.92","30.203222","71.419111","1990-01-01","2019-12-31",23.5,27.5,34.22,39.72,45.39,45.28,41.78,39.22,38.72,37,31.5,26
"183","41780099999","30.48","24.906547","67.160797","1990-01-01","2019-12-31",29,32,36.28,39,39,38,36,34.11,36.5,38.5,35.22,31.22
"185","41922099999","9.14","23.843333","90.397781","1990-01-01","2019-12-31",27,31,35,37,36,35,34,34,34,34,32,28
"187","42181099999","236.82","28.5665","77.103088","1990-01-01","2019-12-31",24,29,35.39,41,44.22,44,39,37,37,36,31,26
"189","42339099999","218.54","26.251092","73.048869","1990-01-01","2019-12-31",29.5,33.5,38.61,42,44.39,44,39.89,37,39.22,39,34.89,31
"191","42410099999","49.37","26.106092","91.585939","1990-01-01","2019-12-31",27,30,33.78,35,35,35.5,35.28,35.61,35.22,33.72,30.5,27.39
"193","42492099999","51.81","25.591317","85.087992","1990-01-01","2019-12-31",25.5,30.11,36.39,40.78,42.5,41.5,36.22,35.28,35.11,34.22,31.22,27
"195","42623099999","774.19","24.75995","93.896697","1990-01-01","2019-12-31",25.78,28.39,31.39,32.78,32.5,32.5,32,32.11,32.28,31.61,29,25.61
"197","42647099999","57.6","23.077242","72.63465","1990-01-01","2019-12-31",31.39,35.11,40,42.78,44.78,43,38,35,37,38.28,35.89,32.39
"199","42667099999","523.95","23.287467","77.337375","1990-01-01","2019-12-31",29.39,32.72,38,41.5,43.5,42.5,35,31.78,34.11,35,32.11,29.61
"201","42809099999","4.87","22.654739","88.446722","1990-01-01","2019-12-31",28.61,33,36.72,38.78,38.39,37.72,35.61,35,35.5,34.72,32.22,29
"203","43003099999","11.27","19.088686","72.867919","1990-01-01","2019-12-31",34.28,35.72,37,36,35,34.72,32,31.78,33,36.22,36,34.78
"205","43128099999","530.96","17.452417","78.461111","1990-01-01","2019-12-31",32.61,35.72,39.28,41.5,42.78,39.5,34.72,33.39,33.61,33.78,32.28,31.78
"209","43279099999","15.84","12.994414","80.180517","1990-01-01","2019-12-31",31.39,34,36.61,38.22,42,40.22,38.5,37.39,36.61,35.22,32.61,31
"213","43353099999","2.43","9.946133","76.272022","1990-01-01","2019-12-31",33.22,33.61,34,34.39,34,32.61,31.61,31.39,31.61,32.22,32.78,33.22
"217","43555099999","1.82","4.191833","73.529128","1990-01-01","2019-12-31",31.28,32,32.39,33,32.5,32,32,32,31.5,31.61,31.39,31.22
"219","44292099999","1330.14","47.843056","106.766639","1990-01-01","2019-12-31",-9.5,-2,9,19,26,30,31.72,30,25,16.22,4.5,-7.5
